slug,region_name,year,month,period,split,dengue_cases,dengue_deaths,incidence_per100k,mean_temp_C,rainfall_mm,humidity_pct,hot_days,population,pop_density_km2,urban_pct,poverty_fam_pct,oni,oni_lag3,rainfall_lag1,rainfall_anomaly_mm,humidity_lag1,temp_lag3,cases_lag1,cases_lag12,ovitrap_pct,ovitrap_lag1,is_demo_fixture
NCR,National Capital Region,2016,2,2016-02,train,877,3,6.75,27.4,48.8,74.2,0,12998695,20981.2,100,2.33,1.9,2.2,118.8,34.8,79.8,29.83,771,785,19,31.3,1
NCR,National Capital Region,2016,3,2016-03,train,739,2,5.69,29.28,44.3,71.2,3,12998695,20981.2,100,2.33,1.6,2.3,48.8,33.3,74.2,28.46,877,893,12.8,19,1
NCR,National Capital Region,2016,4,2016-04,train,370,1,2.85,30.61,62.9,70.3,3,12998695,20981.2,100,2.33,1.1,2,44.3,44.5,71.2,26.89,739,998,17.4,12.8,1
NCR,National Capital Region,2016,5,2016-05,train,805,0,6.19,30.3,161.7,74.2,3,12998695,20981.2,100,2.33,0.6,1.9,62.9,19,70.3,27.4,370,960,15,17.4,1
NCR,National Capital Region,2016,6,2016-06,train,1156,4,8.89,29.25,270.7,79.7,0,12998695,20981.2,100,2.33,0.1,1.6,161.7,6.4,74.2,29.28,805,1849,25,15,1
NCR,National Capital Region,2016,7,2016-07,train,2439,12,18.76,28.12,237.5,78.7,0,12998695,20981.2,100,2.33,-0.2,1.1,270.7,-189.2,79.7,30.61,1156,1455,31,25,1
NCR,National Capital Region,2016,8,2016-08,train,3342,8,25.71,27.77,497.8,87.7,0,12998695,20981.2,100,2.33,-0.4,0.6,237.5,76.3,78.7,30.3,2439,5832,27.2,31,1
NCR,National Capital Region,2016,9,2016-09,train,2827,11,21.75,28.04,284.8,83.6,0,12998695,20981.2,100,2.33,-0.5,0.1,497.8,-34.5,87.7,29.25,3342,6402,34.4,27.2,1
NCR,National Capital Region,2016,10,2016-10,train,2103,7,16.18,27.87,331,81.1,0,12998695,20981.2,100,2.33,-0.6,-0.2,284.8,70.2,83.6,28.12,2827,3911,25.2,34.4,1
NCR,National Capital Region,2016,11,2016-11,train,1771,5,13.62,27.85,61.5,78.7,0,12998695,20981.2,100,2.33,-0.6,-0.4,331,-49.6,81.1,27.77,2103,4642,29.9,25.2,1
NCR,National Capital Region,2016,12,2016-12,train,1122,5,8.63,27.02,158.3,78.6,0,12998695,20981.2,100,2.33,-0.6,-0.5,61.5,-30.6,78.7,28.04,1771,2220,14.4,29.9,1
NCR,National Capital Region,2017,1,2017-01,train,774,2,5.9,26.3,48.2,77.2,0,13120137,21177.22,100,1.88,-0.4,-0.6,158.3,-19.3,78.6,27.87,1122,771,21.5,14.4,1
NCR,National Capital Region,2017,2,2017-02,train,392,0,2.99,26.52,11.2,74.9,0,13120137,21177.22,100,1.88,-0.4,-0.6,48.2,-2.9,77.2,27.85,774,877,19,21.5,1
NCR,National Capital Region,2017,3,2017-03,train,465,2,3.54,27.36,7.4,69.8,0,13120137,21177.22,100,1.88,-0.2,-0.6,11.2,-3.6,74.9,27.02,392,739,16.7,19,1
NCR,National Capital Region,2017,4,2017-04,train,545,2,4.15,29.28,9.3,68.3,2,13120137,21177.22,100,1.88,0,-0.4,7.4,-9.1,69.8,26.3,465,370,20,16.7,1
NCR,National Capital Region,2017,5,2017-05,train,275,1,2.1,30.09,66,71.8,3,13120137,21177.22,100,1.88,0.1,-0.4,9.3,-76.8,68.3,26.52,545,805,7.5,20,1
NCR,National Capital Region,2017,6,2017-06,train,631,3,4.81,29.08,175.4,77.3,2,13120137,21177.22,100,1.88,0.1,-0.2,66,-88.9,71.8,27.36,275,1156,13.5,7.5,1
NCR,National Capital Region,2017,7,2017-07,train,912,1,6.95,27.86,455.9,85.6,0,13120137,21177.22,100,1.88,0,0,175.4,29.2,77.3,29.28,631,2439,16.7,13.5,1
NCR,National Capital Region,2017,8,2017-08,train,2554,12,19.47,27.88,900,94.1,0,13120137,21177.22,100,1.88,-0.2,0.1,455.9,478.5,85.6,30.09,912,3342,27.5,16.7,1
NCR,National Capital Region,2017,9,2017-09,train,4026,9,30.69,28.72,830.6,95.7,0,13120137,21177.22,100,1.88,-0.5,0.1,900,511.3,94.1,29.08,2554,2827,42,27.5,1
NCR,National Capital Region,2017,10,2017-10,train,4070,14,31.02,28.51,114.2,79.1,0,13120137,21177.22,100,1.88,-0.7,0,830.6,-146.7,95.7,27.86,4026,2103,42,42,1
NCR,National Capital Region,2017,11,2017-11,train,1710,7,13.03,27.56,35.6,77.7,0,13120137,21177.22,100,1.88,-0.8,-0.2,114.2,-75.5,79.1,27.88,4070,1771,20.7,42,1
NCR,National Capital Region,2017,12,2017-12,train,933,6,7.11,26.97,206.2,79.4,0,13120137,21177.22,100,1.88,-0.9,-0.5,35.6,17.4,77.7,28.72,1710,1122,17.3,20.7,1
NCR,National Capital Region,2018,1,2018-01,train,1228,6,9.27,26.3,56.8,79.1,0,13241578,21373.24,100,1.43,-0.9,-0.7,206.2,-10.7,79.4,28.51,933,774,20.7,17.3,1
NCR,National Capital Region,2018,2,2018-02,train,1416,4,10.69,26.44,3.7,71.3,0,13241578,21373.24,100,1.43,-0.8,-0.8,56.8,-10.4,79.1,27.56,1228,392,13.2,20.7,1
NCR,National Capital Region,2018,3,2018-03,train,961,3,7.26,28.26,5.3,73,2,13241578,21373.24,100,1.43,-0.6,-0.9,3.7,-5.7,71.3,26.97,1416,465,10.7,13.2,1
NCR,National Capital Region,2018,4,2018-04,train,455,1,3.44,29.67,8.2,67.3,2,13241578,21373.24,100,1.43,-0.4,-0.9,5.3,-10.2,73,26.3,961,545,15.6,10.7,1
NCR,National Capital Region,2018,5,2018-05,train,1265,6,9.55,30.02,206.3,77.5,2,13241578,21373.24,100,1.43,-0.2,-0.8,8.2,63.6,67.3,26.44,455,275,15.4,15.6,1
NCR,National Capital Region,2018,6,2018-06,train,1709,4,12.91,28.35,194.1,77.5,0,13241578,21373.24,100,1.43,0,-0.6,206.3,-70.2,77.5,28.26,1265,631,24.8,15.4,1
NCR,National Capital Region,2018,7,2018-07,train,4997,14,37.74,27.84,289.9,81,0,13241578,21373.24,100,1.43,0.2,-0.4,194.1,-136.8,77.5,29.67,1709,912,19,24.8,1
NCR,National Capital Region,2018,8,2018-08,train,6745,19,50.94,27.25,900,95.2,0,13241578,21373.24,100,1.43,0.3,-0.2,289.9,478.5,81,30.02,4997,2554,21.5,19,1
NCR,National Capital Region,2018,9,2018-09,train,6354,31,47.99,27.98,355.5,83.9,0,13241578,21373.24,100,1.43,0.5,0,900,36.3,95.2,28.35,6745,4026,42,21.5,1
NCR,National Capital Region,2018,10,2018-10,train,4967,21,37.51,27.74,184.5,78.5,0,13241578,21373.24,100,1.43,0.7,0.2,355.5,-76.4,83.9,27.84,6354,4070,25.7,42,1
NCR,National Capital Region,2018,11,2018-11,train,2437,12,18.4,27.68,144.5,78.7,0,13241578,21373.24,100,1.43,0.8,0.3,184.5,33.4,78.5,27.25,4967,1710,16.8,25.7,1
NCR,National Capital Region,2018,12,2018-12,train,1962,8,14.82,27.98,221.8,80.1,0,13241578,21373.24,100,1.43,0.8,0.5,144.5,33,78.7,27.98,2437,933,21.5,16.8,1
NCR,National Capital Region,2019,1,2019-01,test,4600,22,34.42,26.6,104.9,78.7,0,13363020,21569.26,100,1.43,0.7,0.7,221.8,37.3,80.1,27.74,1962,1228,20.3,21.5,1
NCR,National Capital Region,2019,2,2019-02,test,3743,12,28.01,27.56,38.1,73.5,1,13363020,21569.26,100,1.43,0.7,0.8,104.9,24,78.7,27.68,4600,1416,15.3,20.3,1
NCR,National Capital Region,2019,3,2019-03,test,2258,7,16.9,27.6,16.7,72.4,0,13363020,21569.26,100,1.43,0.7,0.8,38.1,5.7,73.5,27.98,3743,961,12,15.3,1
NCR,National Capital Region,2019,4,2019-04,test,3509,13,26.26,29.92,48.2,69.3,5,13363020,21569.26,100,1.43,0.7,0.7,16.7,29.8,72.4,26.6,2258,455,23,12,1
NCR,National Capital Region,2019,5,2019-05,test,4563,8,34.15,30.14,183.6,72.6,4,13363020,21569.26,100,1.43,0.6,0.7,48.2,40.9,69.3,27.56,3509,1265,21.9,23,1
NCR,National Capital Region,2019,6,2019-06,test,5292,12,39.6,29.53,145.1,76.7,1,13363020,21569.26,100,1.43,0.5,0.7,183.6,-119.2,72.6,27.6,4563,1709,25,21.9,1
NCR,National Capital Region,2019,7,2019-07,test,16558,69,123.91,28.22,392.7,83.4,0,13363020,21569.26,100,1.43,0.3,0.7,145.1,-34.1,76.7,29.92,5292,4997,22.9,25,1
NCR,National Capital Region,2019,8,2019-08,test,21132,92,158.14,27.97,413.8,84,0,13363020,21569.26,100,1.43,0.2,0.6,392.7,-7.6,83.4,30.14,16558,6745,28.4,22.9,1
NCR,National Capital Region,2019,9,2019-09,test,26135,105,195.58,28.13,250.6,82.2,0,13363020,21569.26,100,1.43,0.2,0.5,413.8,-68.6,84,29.53,21132,6354,28.1,28.4,1
NCR,National Capital Region,2019,10,2019-10,test,7185,27,53.77,28.45,143.3,76.8,0,13363020,21569.26,100,1.43,0.3,0.3,250.6,-117.5,82.2,28.22,26135,4967,24.8,28.1,1
NCR,National Capital Region,2019,11,2019-11,test,7014,25,52.49,27.3,127.8,76.9,0,13363020,21569.26,100,1.43,0.5,0.2,143.3,16.6,76.8,27.97,7185,2437,23.6,24.8,1
NCR,National Capital Region,2019,12,2019-12,test,5925,9,44.34,27.72,382.9,83.9,0,13363020,21569.26,100,1.43,0.5,0.2,127.8,194.1,76.9,28.13,7014,1962,23.3,23.6,1
NCR,National Capital Region,2020,1,2020-01,diagnostic_excluded,2870,8,21.28,27.61,143.2,78.7,0,13484462,21765.28,100,1.43,0.5,0.3,382.9,75.7,83.9,28.45,5925,4600,33.9,23.3,1
NCR,National Capital Region,2020,2,2020-02,diagnostic_excluded,1210,6,8.97,26.79,25.3,72.7,0,13484462,21765.28,100,1.43,0.5,0.5,143.2,11.3,78.7,27.3,2870,3743,20,33.9,1
NCR,National Capital Region,2020,3,2020-03,diagnostic_excluded,922,3,6.84,28.16,23.4,72.1,1,13484462,21765.28,100,1.43,0.4,0.5,25.3,12.4,72.7,27.72,1210,2258,14.1,20,1
NCR,National Capital Region,2020,4,2020-04,diagnostic_excluded,1050,3,7.79,29.35,20,68.5,2,13484462,21765.28,100,1.43,0.2,0.5,23.4,1.6,72.1,27.61,922,3509,11.5,14.1,1
NCR,National Capital Region,2020,5,2020-05,diagnostic_excluded,1057,5,7.84,30.18,71,70.1,3,13484462,21765.28,100,1.43,0,0.5,20,-71.7,68.5,26.79,1050,4563,16.8,11.5,1
NCR,National Capital Region,2020,6,2020-06,diagnostic_excluded,1187,4,8.8,29.76,71.2,75.1,1,13484462,21765.28,100,1.43,-0.3,0.4,71,-193.1,70.1,28.16,1057,5292,13.9,16.8,1
NCR,National Capital Region,2020,7,2020-07,diagnostic_excluded,2526,9,18.73,27.29,421.8,83.7,0,13484462,21765.28,100,1.43,-0.4,0.2,71.2,-4.9,75.1,29.35,1187,16558,16.7,13.9,1
NCR,National Capital Region,2020,8,2020-08,diagnostic_excluded,5138,15,38.1,27.79,264.6,83.1,0,13484462,21765.28,100,1.43,-0.6,0,421.8,-156.9,83.7,30.18,2526,21132,34.9,16.7,1
NCR,National Capital Region,2020,9,2020-09,diagnostic_excluded,6584,19,48.83,27.74,357.6,84.3,0,13484462,21765.28,100,1.43,-0.9,-0.3,264.6,38.4,83.1,29.76,5138,26135,26.9,34.9,1
NCR,National Capital Region,2020,10,2020-10,diagnostic_excluded,3675,15,27.25,28.42,212,80.3,0,13484462,21765.28,100,1.43,-1.2,-0.4,357.6,-48.9,84.3,27.29,6584,7185,25.4,26.9,1
NCR,National Capital Region,2020,11,2020-11,diagnostic_excluded,3929,14,29.14,27.75,71.9,79.7,0,13484462,21765.28,100,1.43,-1.3,-0.6,212,-39.3,80.3,27.79,3675,7014,23.4,25.4,1
NCR,National Capital Region,2020,12,2020-12,diagnostic_excluded,2223,12,16.49,27.24,143,78.9,0,13484462,21765.28,100,1.43,-1.2,-0.9,71.9,-45.8,79.7,27.74,3929,5925,19.5,23.4,1
R1,Region I (Ilocos Region),2016,1,2016-01,train,459,1,9.03,25.91,129.5,79.2,0,5081130,391.92,21.49,11.65,2,2.1,129.1,84.2,80.4,26.74,359,174,17.5,26.5,1
R1,Region I (Ilocos Region),2016,2,2016-02,train,409,1,8.05,25.37,79.4,76.1,0,5081130,391.92,21.49,11.65,1.9,2.2,129.5,41.8,79.2,26.9,459,155,18.3,17.5,1
R1,Region I (Ilocos Region),2016,3,2016-03,train,326,0,6.42,27.13,94.8,76.7,0,5081130,391.92,21.49,11.65,1.6,2.3,79.4,64.5,76.1,25.21,409,249,17,18.3,1
R1,Region I (Ilocos Region),2016,4,2016-04,train,124,1,2.44,27.81,107.3,75.6,0,5081130,391.92,21.49,11.65,1.1,2,94.8,40.4,76.7,25.91,326,253,17.9,17,1
R1,Region I (Ilocos Region),2016,5,2016-05,train,327,1,6.44,28.06,210.8,76.8,0,5081130,391.92,21.49,11.65,0.6,1.9,107.3,-7.2,75.6,25.37,124,170,15.8,17.9,1
R1,Region I (Ilocos Region),2016,6,2016-06,train,385,4,7.58,27.76,639.1,87.9,0,5081130,391.92,21.49,11.65,0.1,1.6,210.8,296.5,76.8,27.13,327,521,28,15.8,1
R1,Region I (Ilocos Region),2016,7,2016-07,train,731,5,14.39,26.44,199.8,79.4,0,5081130,391.92,21.49,11.65,-0.2,1.1,639.1,-304,87.9,27.81,385,797,36.5,28,1
R1,Region I (Ilocos Region),2016,8,2016-08,train,2452,14,48.26,25.83,555.9,86.4,0,5081130,391.92,21.49,11.65,-0.4,0.6,199.8,-29.2,79.4,28.06,731,1062,20.9,36.5,1
R1,Region I (Ilocos Region),2016,9,2016-09,train,1330,4,26.18,25.7,521,87.6,0,5081130,391.92,21.49,11.65,-0.5,0.1,555.9,187.3,86.4,27.76,2452,1652,40,20.9,1
R1,Region I (Ilocos Region),2016,10,2016-10,train,2173,4,42.77,26.66,201.5,80,0,5081130,391.92,21.49,11.65,-0.6,-0.2,521,-60.8,87.6,26.44,1330,1076,38.8,40,1
R1,Region I (Ilocos Region),2016,11,2016-11,train,540,2,10.63,25.88,117,79.2,0,5081130,391.92,21.49,11.65,-0.6,-0.4,201.5,-17.2,80,25.83,2173,924,23.6,38.8,1
R1,Region I (Ilocos Region),2016,12,2016-12,train,635,3,12.5,24.78,78.1,76.2,0,5081130,391.92,21.49,11.65,-0.6,-0.5,117,-23.7,79.2,25.7,540,359,22.1,23.6,1
R1,Region I (Ilocos Region),2017,1,2017-01,train,367,2,7.15,24.84,31,76.3,0,5136132,396.17,22.49,9.34,-0.4,-0.6,78.1,-14.3,76.2,26.66,635,459,15.2,22.1,1
R1,Region I (Ilocos Region),2017,2,2017-02,train,213,2,4.15,24.3,19.7,74.4,0,5136132,396.17,22.49,9.34,-0.4,-0.6,31,-17.9,76.3,25.88,367,409,13.2,15.2,1
R1,Region I (Ilocos Region),2017,3,2017-03,train,105,1,2.04,25.2,11.3,71.3,0,5136132,396.17,22.49,9.34,-0.2,-0.6,19.7,-19,74.4,24.78,213,326,16,13.2,1
R1,Region I (Ilocos Region),2017,4,2017-04,train,53,0,1.03,27.37,77.7,75.8,0,5136132,396.17,22.49,9.34,0,-0.4,11.3,10.9,71.3,24.84,105,124,16.4,16,1
R1,Region I (Ilocos Region),2017,5,2017-05,train,184,3,3.58,27.97,231.2,81.6,1,5136132,396.17,22.49,9.34,0.1,-0.4,77.7,13.2,75.8,24.3,53,327,20.9,16.4,1
R1,Region I (Ilocos Region),2017,6,2017-06,train,358,1,6.97,26.69,306.7,81.2,0,5136132,396.17,22.49,9.34,0.1,-0.2,231.2,-35.9,81.6,25.2,184,385,27.3,20.9,1
R1,Region I (Ilocos Region),2017,7,2017-07,train,1035,4,20.15,26.04,499.2,85,0,5136132,396.17,22.49,9.34,0,0,306.7,-4.6,81.2,27.37,358,731,25.8,27.3,1
R1,Region I (Ilocos Region),2017,8,2017-08,train,1245,8,24.24,26.83,490.6,83.8,0,5136132,396.17,22.49,9.34,-0.2,0.1,499.2,-94.5,85,27.97,1035,2452,31.8,25.8,1
R1,Region I (Ilocos Region),2017,9,2017-09,train,1227,1,23.89,26.33,362.5,84.3,0,5136132,396.17,22.49,9.34,-0.5,0.1,490.6,28.8,83.8,26.69,1245,1330,36.9,31.8,1
R1,Region I (Ilocos Region),2017,10,2017-10,train,1597,4,31.09,26.26,168.4,80,0,5136132,396.17,22.49,9.34,-0.7,0,362.5,-93.9,84.3,26.04,1227,2173,23.1,36.9,1
R1,Region I (Ilocos Region),2017,11,2017-11,train,335,1,6.52,25.87,129.5,80.9,0,5136132,396.17,22.49,9.34,-0.8,-0.2,168.4,-4.7,80,26.83,1597,540,19.7,23.1,1
R1,Region I (Ilocos Region),2017,12,2017-12,train,582,2,11.33,25.22,66.2,79.8,0,5136132,396.17,22.49,9.34,-0.9,-0.5,129.5,-35.6,80.9,26.33,335,635,13.6,19.7,1
R1,Region I (Ilocos Region),2018,1,2018-01,train,261,1,5.03,24.45,43.5,75.6,0,5191135,400.41,23.49,7.02,-0.9,-0.7,66.2,-1.8,79.8,26.26,582,367,13.9,13.6,1
R1,Region I (Ilocos Region),2018,2,2018-02,train,133,1,2.56,24.37,22.5,76.9,0,5191135,400.41,23.49,7.02,-0.8,-0.8,43.5,-15.1,75.6,25.87,261,213,19.1,13.9,1
R1,Region I (Ilocos Region),2018,3,2018-03,train,113,0,2.18,25.84,7.4,73.6,0,5191135,400.41,23.49,7.02,-0.6,-0.9,22.5,-22.8,76.9,25.22,133,105,15.7,19.1,1
R1,Region I (Ilocos Region),2018,4,2018-04,train,114,0,2.2,26.87,34.4,76.2,0,5191135,400.41,23.49,7.02,-0.4,-0.9,7.4,-32.5,73.6,24.45,113,53,8.1,15.7,1
R1,Region I (Ilocos Region),2018,5,2018-05,train,162,0,3.12,27.29,194.8,79.3,0,5191135,400.41,23.49,7.02,-0.2,-0.8,34.4,-23.1,76.2,24.37,114,184,14.3,8.1,1
R1,Region I (Ilocos Region),2018,6,2018-06,train,253,2,4.87,26.82,183.9,81.1,0,5191135,400.41,23.49,7.02,0,-0.6,194.8,-158.6,79.3,25.84,162,358,23.6,14.3,1
R1,Region I (Ilocos Region),2018,7,2018-07,train,607,3,11.69,26.24,900,93,0,5191135,400.41,23.49,7.02,0.2,-0.4,183.9,396.2,81.1,26.87,253,1035,18,23.6,1
R1,Region I (Ilocos Region),2018,8,2018-08,train,828,2,15.95,25.77,899.3,92.9,0,5191135,400.41,23.49,7.02,0.3,-0.2,900,314.2,93,27.29,607,1245,42,18,1
R1,Region I (Ilocos Region),2018,9,2018-09,train,2500,10,48.16,26.16,501,87.7,0,5191135,400.41,23.49,7.02,0.5,0,899.3,167.3,92.9,26.82,828,1227,42,42,1
R1,Region I (Ilocos Region),2018,10,2018-10,train,1463,7,28.18,26.66,600.3,87.1,0,5191135,400.41,23.49,7.02,0.7,0.2,501,338,87.7,26.24,2500,1597,42,42,1
R1,Region I (Ilocos Region),2018,11,2018-11,train,569,2,10.96,26.19,310.6,83.6,0,5191135,400.41,23.49,7.02,0.8,0.3,600.3,176.4,87.1,25.77,1463,335,38.3,42,1
R1,Region I (Ilocos Region),2018,12,2018-12,train,478,1,9.21,25.48,141.4,82,0,5191135,400.41,23.49,7.02,0.8,0.5,310.6,39.6,83.6,26.16,569,582,20,38.3,1
R1,Region I (Ilocos Region),2019,1,2019-01,test,1027,6,19.58,24.95,56.9,76.6,0,5246137,404.65,24.49,7.02,0.7,0.7,141.4,11.6,82,26.66,478,261,21.8,20,1
R1,Region I (Ilocos Region),2019,2,2019-02,test,670,2,12.77,25.15,67.3,75.9,0,5246137,404.65,24.49,7.02,0.7,0.8,56.9,29.7,76.6,26.19,1027,133,19.3,21.8,1
R1,Region I (Ilocos Region),2019,3,2019-03,test,499,4,9.51,26.16,91.4,75.7,0,5246137,404.65,24.49,7.02,0.7,0.8,67.3,61.2,75.9,25.48,670,113,21.9,19.3,1
R1,Region I (Ilocos Region),2019,4,2019-04,test,279,0,5.32,27.38,75.9,77.1,0,5246137,404.65,24.49,7.02,0.7,0.7,91.4,9,75.7,24.95,499,114,15.8,21.9,1
R1,Region I (Ilocos Region),2019,5,2019-05,test,406,2,7.74,27.26,371.3,80.7,0,5246137,404.65,24.49,7.02,0.6,0.7,75.9,153.4,77.1,25.15,279,162,16.1,15.8,1
R1,Region I (Ilocos Region),2019,6,2019-06,test,695,2,13.25,27.46,331.8,83.2,0,5246137,404.65,24.49,7.02,0.5,0.7,371.3,-10.8,80.7,26.16,406,253,25.2,16.1,1
R1,Region I (Ilocos Region),2019,7,2019-07,test,2801,6,53.39,26.65,555.4,85.3,0,5246137,404.65,24.49,7.02,0.3,0.7,331.8,51.6,83.2,27.38,695,607,28.6,25.2,1
R1,Region I (Ilocos Region),2019,8,2019-08,test,1985,10,37.84,25.52,827.8,92.3,0,5246137,404.65,24.49,7.02,0.2,0.6,555.4,242.7,85.3,27.26,2801,828,35.1,28.6,1
R1,Region I (Ilocos Region),2019,9,2019-09,test,6808,31,129.77,26.62,649.9,90.6,0,5246137,404.65,24.49,7.02,0.2,0.5,827.8,316.2,92.3,27.46,1985,2500,42,35.1,1
R1,Region I (Ilocos Region),2019,10,2019-10,test,6204,27,118.26,26.4,192,81.6,0,5246137,404.65,24.49,7.02,0.3,0.3,649.9,-70.3,90.6,26.65,6808,1463,39.5,42,1
R1,Region I (Ilocos Region),2019,11,2019-11,test,638,0,12.16,26.01,123.7,80.4,0,5246137,404.65,24.49,7.02,0.5,0.2,192,-10.5,81.6,25.52,6204,569,30.2,39.5,1
R1,Region I (Ilocos Region),2019,12,2019-12,test,1569,10,29.91,25.11,176.8,79,0,5246137,404.65,24.49,7.02,0.5,0.2,123.7,75,80.4,26.62,638,478,20.7,30.2,1
R1,Region I (Ilocos Region),2020,1,2020-01,diagnostic_excluded,458,2,8.64,25.03,87.4,76.7,1,5301139,408.89,25.49,7.02,0.5,0.3,176.8,42.1,79,26.4,1569,1027,21.4,20.7,1
R1,Region I (Ilocos Region),2020,2,2020-02,diagnostic_excluded,169,1,3.19,25.03,59.2,74.8,0,5301139,408.89,25.49,7.02,0.5,0.5,87.4,21.6,76.7,26.01,458,670,18,21.4,1
R1,Region I (Ilocos Region),2020,3,2020-03,diagnostic_excluded,111,0,2.09,26.56,89.4,76.3,0,5301139,408.89,25.49,7.02,0.4,0.5,59.2,59.1,74.8,25.11,169,499,24.9,18,1
R1,Region I (Ilocos Region),2020,4,2020-04,diagnostic_excluded,164,1,3.09,27.3,35,75,0,5301139,408.89,25.49,7.02,0.2,0.5,89.4,-31.9,76.3,25.03,111,279,14.2,24.9,1
R1,Region I (Ilocos Region),2020,5,2020-05,diagnostic_excluded,222,0,4.19,27.59,290.5,80.4,0,5301139,408.89,25.49,7.02,0,0.5,35,72.5,75,25.03,164,406,8.9,14.2,1
R1,Region I (Ilocos Region),2020,6,2020-06,diagnostic_excluded,360,2,6.79,27.17,257.5,82.1,0,5301139,408.89,25.49,7.02,-0.3,0.4,290.5,-85.1,80.4,26.56,222,695,23.2,8.9,1
R1,Region I (Ilocos Region),2020,7,2020-07,diagnostic_excluded,844,4,15.92,26.74,239.9,76.4,0,5301139,408.89,25.49,7.02,-0.4,0.2,257.5,-263.9,82.1,27.3,360,2801,28,23.2,1
R1,Region I (Ilocos Region),2020,8,2020-08,diagnostic_excluded,1244,9,23.47,25.4,447.3,85.9,0,5301139,408.89,25.49,7.02,-0.6,0,239.9,-137.8,76.4,27.59,844,1985,24.5,28,1
R1,Region I (Ilocos Region),2020,9,2020-09,diagnostic_excluded,482,3,9.09,26.46,392.7,84,0,5301139,408.89,25.49,7.02,-0.9,-0.3,447.3,59,85.9,27.17,1244,6808,30.7,24.5,1
R1,Region I (Ilocos Region),2020,10,2020-10,diagnostic_excluded,1206,8,22.75,26.58,454.2,88.5,0,5301139,408.89,25.49,7.02,-1.2,-0.4,392.7,191.9,84,26.74,482,6204,28.4,30.7,1
R1,Region I (Ilocos Region),2020,11,2020-11,diagnostic_excluded,365,2,6.89,25.69,75.6,79,0,5301139,408.89,25.49,7.02,-1.3,-0.6,454.2,-58.6,88.5,25.4,1206,638,29.8,28.4,1
R1,Region I (Ilocos Region),2020,12,2020-12,diagnostic_excluded,287,0,5.41,24.7,70.4,78.1,0,5301139,408.89,25.49,7.02,-1.2,-0.9,75.6,-31.4,79,26.46,365,1569,20.9,29.8,1
R10,Region X (Northern Mindanao),2016,1,2016-01,train,387,2,8.14,25.18,275.5,88.3,0,4755995,232.47,48.83,27.3,2,2.1,259,81.4,86.3,26.25,594,163,22.4,23.1,1
R10,Region X (Northern Mindanao),2016,2,2016-02,train,125,0,2.63,25.27,180,83.3,0,4755995,232.47,48.83,27.3,1.9,2.2,275.5,56.9,88.3,25.62,387,176,21.5,22.4,1
R10,Region X (Northern Mindanao),2016,3,2016-03,train,100,0,2.1,26.19,126.7,79.5,0,4755995,232.47,48.83,27.3,1.6,2.3,180,6.3,83.3,25.07,125,202,18.8,21.5,1
R10,Region X (Northern Mindanao),2016,4,2016-04,train,175,0,3.68,27.03,204.1,77.3,0,4755995,232.47,48.83,27.3,1.1,2,126.7,76.5,79.5,25.18,100,147,24.5,18.8,1
R10,Region X (Northern Mindanao),2016,5,2016-05,train,168,2,3.53,26.61,403.7,85,0,4755995,232.47,48.83,27.3,0.6,1.9,204.1,115.4,77.3,25.27,175,67,25.6,24.5,1
R10,Region X (Northern Mindanao),2016,6,2016-06,train,329,1,6.92,25.99,606.7,87.7,0,4755995,232.47,48.83,27.3,0.1,1.6,403.7,259.6,85,26.19,168,428,32.9,25.6,1
R10,Region X (Northern Mindanao),2016,7,2016-07,train,700,4,14.72,25.67,457.3,86.7,0,4755995,232.47,48.83,27.3,-0.2,1.1,606.7,144.8,87.7,27.03,329,975,36.6,32.9,1
R10,Region X (Northern Mindanao),2016,8,2016-08,train,662,3,13.92,25.48,111.2,79.6,0,4755995,232.47,48.83,27.3,-0.4,0.6,457.3,-117.1,86.7,26.61,700,1404,32.7,36.6,1
R10,Region X (Northern Mindanao),2016,9,2016-09,train,304,0,6.39,25.18,328.4,86.1,0,4755995,232.47,48.83,27.3,-0.5,0.1,111.2,34.4,79.6,25.99,662,787,13.4,32.7,1
R10,Region X (Northern Mindanao),2016,10,2016-10,train,600,3,12.62,25.57,303,85.5,0,4755995,232.47,48.83,27.3,-0.6,-0.2,328.4,-39.7,86.1,25.67,304,922,29.7,13.4,1
R10,Region X (Northern Mindanao),2016,11,2016-11,train,371,3,7.8,24.92,117.7,83.9,0,4755995,232.47,48.83,27.3,-0.6,-0.4,303,-84.7,85.5,25.48,600,624,30.2,29.7,1
R10,Region X (Northern Mindanao),2016,12,2016-12,train,146,0,3.07,25.16,239.5,85.1,0,4755995,232.47,48.83,27.3,-0.6,-0.5,117.7,0.8,83.9,25.18,371,594,18.3,30.2,1
R10,Region X (Northern Mindanao),2017,1,2017-01,train,316,2,6.55,24.62,149,82.2,0,4822688,235.73,49.2,22.32,-0.4,-0.6,239.5,-45.1,85.1,25.57,146,387,25,18.3,1
R10,Region X (Northern Mindanao),2017,2,2017-02,train,201,3,4.17,24.29,100.6,82.4,0,4822688,235.73,49.2,22.32,-0.4,-0.6,149,-22.5,82.2,24.92,316,125,19.7,25,1
R10,Region X (Northern Mindanao),2017,3,2017-03,train,170,0,3.53,24.8,83,79.2,0,4822688,235.73,49.2,22.32,-0.2,-0.6,100.6,-37.4,82.4,25.16,201,100,18.7,19.7,1
